"","p1","c1","c2","c3","c4","c5","c6"
"1","ID_1","ID_88","ID_37","ID_98","ID_144","ID_157","ID_19"
"2","ID_2","ID_77","ID_42","ID_79","ID_69","ID_95","ID_74"
"3","ID_3","ID_4","ID_184","ID_143","ID_16","ID_40","ID_181"
"4","ID_4","ID_3","ID_177","ID_184","ID_143","ID_11","ID_92"
"5","ID_5","ID_29","ID_45","ID_35","ID_137","ID_82","ID_30"
"6","ID_6","ID_7","ID_147","ID_85","ID_102","ID_84","ID_61"
"7","ID_7","ID_61","ID_84","ID_6","ID_56","ID_85","ID_102"
"8","ID_8","ID_174","ID_165","ID_86","ID_35","ID_137","ID_167"
"9","ID_9","ID_167","ID_40","ID_96","ID_178","ID_152","ID_177"
"10","0_ID_NA","ID_16","ID_94","ID_143","ID_12","ID_11","ID_91"
"11","ID_11","ID_92","ID_123","ID_12","ID_68","ID_107","ID_90"
"12","ID_12","ID_92","ID_94","ID_52","ID_11","ID_107","ID_90"
"13","ID_13","ID_88","ID_150","ID_3","ID_68","ID_16","ID_94"
"14","ID_14","ID_67","ID_93","ID_69","ID_159","ID_66","ID_105"
"15","ID_15","ID_73","ID_133","ID_72","ID_22","ID_125","ID_14"
"16","ID_16","ID_68","ID_94","ID_90","ID_92","ID_12","ID_11"
"17","ID_17","ID_23","ID_138","ID_166","ID_57","ID_18","ID_142"
"18","ID_18","ID_23","ID_132","ID_47","ID_160","ID_57","0_ID_NA"
"19","ID_19","ID_130","ID_1","ID_157","ID_105","ID_37","ID_20"
"20","ID_20","ID_21","ID_130","ID_129","ID_19","ID_70","0_ID_NA"
"21","ID_21","ID_20","ID_130","ID_70","ID_19","ID_22","0_ID_NA"
"22","ID_22","ID_21","ID_19","ID_20","0_ID_NA","ID_70","0_ID_NA"
"23","ID_23","ID_18","ID_17","ID_57","ID_47","ID_142","0_ID_NA"
"24","ID_24","ID_61","ID_72","ID_56","ID_29","ID_25","0_ID_NA"
"25","ID_25","ID_24","ID_61","ID_56","ID_72","ID_29","0_ID_NA"
"26","ID_26","ID_34","ID_27","ID_32","ID_3","ID_36","ID_31"
"27","ID_27","ID_26","ID_34","ID_32","ID_140","ID_111","ID_132"
"28","ID_28","ID_25","ID_133","ID_15","ID_78","ID_84","ID_126"
"29","ID_29","ID_5","ID_46","ID_30","ID_35","ID_82","ID_45"
"30","ID_30","ID_29","ID_5","ID_137","ID_35","ID_77","ID_79"
"31","ID_31","ID_173","ID_117","ID_67","ID_14","ID_36","0_ID_NA"
"32","ID_32","ID_36","ID_34","ID_27","ID_173","ID_26","ID_31"
"33","ID_33","ID_77","ID_79","ID_126","ID_7","ID_5","0_ID_NA"
"34","ID_34","ID_26","ID_36","ID_27","ID_149","ID_32","ID_94"
"35","ID_35","ID_8","ID_167","ID_137","ID_174","ID_71","ID_39"
"36","ID_36","ID_32","ID_31","ID_27","ID_62","ID_26","ID_173"
"37","ID_37","ID_98","ID_38","ID_158","ID_19","ID_157","ID_130"
"38","ID_38","ID_110","ID_98","ID_37","ID_158","0_ID_NA","0_ID_NA"
"39","ID_39","ID_163","ID_71","ID_65","ID_128","ID_153","ID_119"
"40","ID_40","ID_143","ID_124","ID_169","ID_146","ID_138","ID_35"
"41","ID_41","ID_134","ID_138","ID_171","ID_115","ID_99","ID_146"
"42","ID_42","ID_74","ID_2","ID_156","ID_170","ID_130","ID_79"
"43","ID_43","ID_108","ID_139","ID_166","ID_68","ID_120","ID_135"
"44","ID_44","ID_137","ID_82","ID_46","ID_45","ID_5","ID_29"
"45","ID_45","ID_46","ID_5","ID_82","ID_44","ID_29","ID_137"
"46","ID_46","ID_45","ID_82","ID_5","ID_29","ID_44","ID_137"
"47","ID_47","ID_23","ID_52","ID_116","ID_177","ID_9","ID_96"
"48","ID_48","ID_132","ID_52","ID_47","ID_53","ID_80","ID_136"
"49","ID_49","ID_55","ID_51","ID_50","ID_81","ID_133","ID_77"
"50","ID_50","ID_51","ID_49","ID_45","ID_44","ID_5","ID_55"
"51","ID_51","ID_49","ID_55","ID_50","ID_81","ID_39","ID_45"
"52","ID_52","ID_53","ID_137","ID_96","ID_92","ID_136","ID_116"
"53","ID_53","ID_52","ID_136","ID_116","ID_96","ID_54","ID_177"
"54","ID_54","ID_52","ID_136","ID_96","ID_53","ID_94","ID_116"
"55","ID_55","ID_49","ID_51","ID_80","ID_127","ID_75","ID_50"
"56","ID_56","ID_61","ID_78","ID_63","ID_7","ID_72","ID_38"
"57","ID_57","ID_23","ID_17","ID_47","ID_132","ID_48","ID_18"
"58","ID_58","ID_59","ID_60","ID_154","ID_80","0_ID_NA","0_ID_NA"
"59","ID_59","ID_58","ID_154","ID_60","ID_158","ID_38","ID_113"
"60","ID_60","ID_154","ID_58","ID_59","ID_61","ID_56","ID_63"
"61","ID_61","ID_78","ID_72","ID_6","ID_63","ID_7","ID_56"
"62","ID_62","ID_94","ID_184","ID_83","ID_4","ID_121","ID_167"
"63","ID_63","ID_56","ID_61","ID_145","ID_60","ID_78","ID_180"
"64","ID_56","ID_61","ID_72","ID_78","ID_63","ID_25","ID_7"
"65","ID_64","ID_121","ID_151","ID_178","ID_96","ID_9","ID_53"
"66","ID_58","ID_59","ID_154","ID_60","ID_80","0_ID_NA","0_ID_NA"
"67","ID_57","ID_23","ID_18","ID_17","ID_47","ID_132","ID_48"
"68","ID_59","ID_58","ID_154","ID_60","ID_158","ID_113","0_ID_NA"
"69","ID_60","ID_154","ID_58","ID_59","ID_56","ID_61","ID_63"
"70","ID_61","ID_56","ID_72","ID_63","ID_7","ID_78","ID_6"
"71","ID_37","ID_38","ID_158","ID_98","ID_19","ID_1","ID_130"
"72","ID_38","ID_98","ID_158","ID_37","ID_128","ID_110","ID_39"
"73","ID_40","ID_143","ID_114","ID_138","ID_169","ID_35","ID_152"
"74","ID_65","ID_128","ID_163","ID_119","ID_153","ID_174","ID_144"
"75","ID_66","ID_69","ID_67","ID_93","ID_14","ID_159","ID_130"
"76","ID_67","ID_14","ID_69","ID_66","ID_2","ID_77","ID_42"
"77","ID_15","ID_133","ID_78","ID_73","ID_22","ID_72","ID_85"
"78","ID_68","ID_112","ID_16","ID_92","ID_12","ID_94","ID_91"
"79","ID_69","ID_66","ID_159","ID_93","ID_67","ID_130","ID_14"
"80","ID_11","ID_92","ID_90","ID_12","ID_123","ID_107","ID_135"
"81","ID_12","ID_94","ID_52","ID_92","ID_11","ID_107","0_ID_NA"
"82","ID_14","ID_67","ID_93","ID_66","ID_159","ID_77","ID_69"
"83","ID_16","ID_90","ID_12","ID_68","ID_92","ID_13","ID_94"
"84","ID_13","ID_16","ID_68","ID_94","ID_139","ID_11","ID_3"
"85","ID_18","ID_23","ID_132","ID_57","ID_48","ID_47","0_ID_NA"
"86","ID_23","ID_142","ID_57","ID_18","ID_47","0_ID_NA","0_ID_NA"
"87","ID_21","ID_20","ID_22","ID_70","0_ID_NA","0_ID_NA","0_ID_NA"
"88","ID_70","ID_20","ID_22","ID_21","0_ID_NA","0_ID_NA","0_ID_NA"
"89","ID_20","ID_21","ID_22","ID_70","0_ID_NA","0_ID_NA","0_ID_NA"
"90","ID_22","ID_15","ID_21","ID_70","ID_20","ID_19","0_ID_NA"
"91","ID_19","ID_130","ID_1","ID_157","ID_22","ID_37","ID_81"
"92","ID_43","ID_108","ID_139","ID_120","ID_166","ID_135","ID_123"
"93","ID_71","ID_110","ID_105","ID_174","ID_153","ID_104","ID_39"
"94","ID_72","ID_126","ID_56","ID_61","ID_24","ID_75","ID_125"
"95","ID_73","ID_126","ID_125","ID_75","ID_72","ID_15","ID_74"
"96","ID_42","ID_74","ID_2","ID_156","ID_170","ID_105","ID_79"
"97","ID_74","ID_42","ID_156","ID_170","ID_105","ID_41","ID_2"
"98","ID_41","ID_134","ID_171","ID_99","ID_115","ID_138","ID_168"
"99","ID_75","ID_55","ID_72","ID_125","ID_126","ID_61","ID_162"
"100","ID_34","ID_26","ID_149","ID_27","ID_36","ID_94","ID_52"
"101","ID_36","ID_32","ID_31","ID_173","ID_34","ID_26","ID_3"
"102","ID_35","ID_8","ID_174","ID_3","ID_184","ID_71","ID_98"
"103","ID_30","ID_29","ID_5","ID_35","ID_77","ID_137","ID_2"
"104","ID_31","ID_173","ID_67","ID_117","ID_14","ID_32","ID_36"
"105","ID_33","ID_126","ID_72","ID_7","ID_6","ID_77","ID_79"
"106","ID_76","ID_2","ID_77","ID_79","ID_118","ID_105","ID_35"
"107","ID_77","ID_79","ID_130","ID_2","ID_81","ID_95","ID_157"
"108","ID_27","ID_34","ID_26","ID_140","ID_32","ID_111","ID_36"
"109","ID_25","ID_78","ID_56","ID_72","ID_61","ID_29","ID_5"
"110","ID_78","ID_25","ID_56","ID_61","ID_72","ID_46","ID_29"
"111","ID_32","ID_36","ID_3","ID_173","ID_181","ID_31","ID_107"
