"","p1","c1","c2","c3","c4","c5","c6"
"1","ID_1","ID_125","ID_155","ID_18","ID_170","ID_112","ID_41"
"2","ID_2","ID_27","ID_102","ID_107","0_ID_NA","0_ID_NA","0_ID_NA"
"3","ID_3","ID_89","ID_40","ID_118","ID_13","ID_199","ID_122"
"4","ID_4","ID_126","ID_52","ID_53","ID_177","ID_174","ID_54"
"5","ID_5","ID_96","ID_63","ID_21","ID_160","ID_131","ID_37"
"6","ID_6","ID_20","ID_150","ID_81","ID_37","ID_111","ID_41"
"7","ID_7","ID_81","ID_20","ID_15","ID_111","ID_37","ID_150"
"8","ID_8","ID_139","ID_60","ID_82","ID_99","ID_41","ID_141"
"9","ID_9","ID_93","ID_87","ID_154","ID_162","ID_114","ID_119"
"10","ID_10","ID_92","ID_104","ID_96","ID_170","ID_5","ID_160"
"11","ID_11","ID_151","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA","0_ID_NA"
"12","ID_12","ID_124","ID_161","ID_10","ID_22","ID_2","ID_131"
"13","ID_13","ID_88","ID_27","ID_151","ID_3","0_ID_NA","0_ID_NA"
"14","ID_14","ID_135","ID_7","ID_20","ID_150","ID_176","ID_37"
"15","ID_15","ID_126","ID_7","ID_4","ID_167","ID_137","ID_182"
"16","ID_2","ID_194","ID_113","ID_110","ID_84","ID_64","ID_55"
"17","ID_16","ID_194","ID_122","ID_71","ID_26","ID_43","ID_133"
"18","ID_17","ID_77","ID_16","ID_26","ID_194","ID_2","ID_117"
"19","ID_18","ID_198","ID_194","ID_19","ID_2","ID_16","ID_113"
"20","ID_19","ID_76","ID_65","ID_51","ID_142","ID_11","ID_18"
"21","ID_20","ID_6","ID_111","ID_37","ID_41","ID_81","ID_150"
"22","ID_21","ID_88","ID_67","ID_53","ID_5","ID_130","ID_107"
"23","ID_22","ID_23","ID_201","ID_135","ID_106","ID_21","ID_67"
"24","ID_23","ID_156","ID_20","ID_106","ID_21","0_ID_NA","0_ID_NA"
"25","ID_24","ID_55","ID_160","ID_40","ID_172","ID_162","ID_133"
"26","ID_25","ID_86","ID_128","ID_29","ID_31","ID_165","ID_27"
"27","ID_26","ID_71","ID_72","ID_16","ID_76","ID_194","ID_52"
"28","ID_27","ID_173","ID_126","ID_102","ID_53","ID_147","ID_131"
"29","ID_28","ID_182","ID_109","ID_31","ID_45","ID_194","ID_168"
"30","ID_29","ID_135","ID_126","ID_178","ID_167","ID_165","ID_173"
